X,Y,Z,GX,GY,GZ,Label
0.011,-1.01,0.131,0.549,0.427,0.183,1
0.007,-1.01,0.119,2.014,1.038,0.977,1
0.013,-1.016,0.146,-0.244,-0.061,0.488,1
0.009,-1.011,0.111,-1.099,-0.488,0.549,1
0.007,-1.016,0.127,0.854,-0.183,0.488,1
0.009,-1.005,0.136,-1.953,-0.244,0.671,1
0.01,-1.006,0.133,-0.366,-0.793,0.061,1
0.006,-0.995,0.122,3.845,0.854,0.488,1
0.014,-1.015,0.154,1.465,0.732,0.61,1
0.01,-1.007,0.136,-0.244,0.427,0.854,1
0.013,-1.005,0.149,1.343,0.61,0.671,1
0.011,-1.004,0.137,-0.488,0.244,0.61,1
0.01,-1.01,0.14,1.099,0.671,0.793,1
0.007,-1,0.138,0.549,0.305,0.244,1
0.016,-1.028,0.156,1.343,0.793,0.793,1
0.011,-0.999,0.138,-1.404,-0.61,0.122,1
0.01,-1.007,0.14,-1.77,-0.427,0.977,1
0.012,-1.002,0.152,0.854,0.916,0.916,1
0.011,-1.004,0.16,-1.221,-0.61,0.244,1
0.01,-1.009,0.146,-0.488,0.061,0.732,1
0.014,-1.007,0.16,0.671,-0.977,0.366,1
0.009,-1.01,0.153,-0.122,-0.244,0.488,1
0.01,-1.001,0.139,0.183,-0.305,0,1
0.012,-1.013,0.157,1.282,0.183,0.549,1
0.009,-1.002,0.155,0.061,0.366,0.305,1
0.012,-1.012,0.153,-0.793,0.244,0.427,1
0.012,-1.012,0.151,0.061,-0.122,0.916,1
0.01,-1.008,0.152,-1.404,-0.244,0.366,1
0.013,-1.003,0.148,-2.258,0.366,0.732,1
0.011,-1.011,0.15,1.77,0.366,0.244,1
0.013,-0.994,0.144,0.732,0,0.793,1
0.014,-1.008,0.153,1.038,0.854,0.061,1
0.013,-1.006,0.154,0.61,0.061,0.305,1
0.013,-1.012,0.143,0.61,-0.122,0.183,1
0.012,-1.005,0.155,-0.549,0.671,1.343,1
0.011,-1.01,0.16,0.244,0.061,0.427,1
0.011,-1.005,0.154,-0.122,0.244,0.977,1
0.012,-1.009,0.157,-0.732,0.183,0.244,1
0.009,-0.998,0.159,1.343,0.183,0.549,1
0.017,-1.005,0.162,0.244,0.061,0.977,1
-1.014,-0.034,-0.055,-2.136,3.601,10.681,2
-0.991,-0.066,-0.015,0.977,-2.747,-0.854,2
-0.989,-0.061,0,2.441,2.808,5.066,2
-0.989,0,-0.038,1.709,-3.174,0.244,2
-1.033,-0.06,-0.037,-1.77,0.916,-1.709,2
-0.965,-0.059,-0.011,1.282,0.61,-1.282,2
-1.006,-0.049,-0.021,1.282,1.892,4.333,2
-1.015,0.007,-0.078,-8.423,6.775,-4.761,2
-0.925,-0.03,0.014,4.822,-0.916,-0.183,2
-1.048,0.01,-0.116,-0.549,4.822,0,2
-0.97,-0.079,-0.03,4.333,-0.793,5.249,2
-0.958,-0.024,-0.031,2.075,1.831,-0.61,2
-0.987,-0.015,-0.048,31.86,6.348,0,2
-0.976,-0.027,-0.077,3.662,6.47,6.775,2
-1.027,-0.011,-0.117,4.578,4.761,4.822,2
-0.978,0.029,-0.09,4.822,-1.038,-3.235,2
-1.039,-0.062,-0.067,-2.319,-0.366,1.587,2
-0.953,0.011,-0.08,3.357,-0.916,8.362,2
-1.01,0.011,-0.114,5.737,1.343,0.061,2
-1.005,0.06,-0.093,2.563,-2.319,0.977,2
-0.953,-0.02,-0.056,3.662,-1.892,4.15,2
-1.014,-0.024,-0.082,-2.014,-0.916,-3.296,2
-1.024,-0.053,-0.064,-0.488,-2.258,2.319,2
-0.999,0.016,-0.08,-1.282,-0.244,2.014,2
-1.001,-0.006,-0.066,-1.831,0.366,1.343,2
-1.009,0.007,-0.088,1.404,-3.723,-2.014,2
-1.005,0.004,-0.056,-1.831,-1.648,-2.014,2
-0.965,0.002,-0.038,-0.427,-2.197,-0.977,2
-0.996,-0.023,-0.033,-1.221,1.099,-0.61,2
-0.986,-0.012,-0.047,1.099,2.38,3.357,2
-0.999,-0.01,-0.042,0.305,3.113,5.615,2
-0.979,0.027,-0.07,-0.732,1.831,0.854,2
-1.008,0.012,-0.07,0.366,-1.16,0.244,2
-0.998,0.005,-0.056,0.427,0.305,-0.732,2
-0.978,-0.002,-0.036,-0.916,-0.488,1.831,2
-0.998,-0.002,-0.057,-0.732,0.732,0.305,2
-1.015,0.015,-0.072,-0.671,-0.061,0,2
-1.005,-0.008,-0.064,-1.099,1.648,1.404,2
-1.004,0.019,-0.084,-1.099,-0.977,2.319,2
-1.007,0.003,-0.07,-0.366,1.709,0.061,2
-0.99,0.01,-0.04,1.099,1.16,-2.441,2
-0.993,0.008,-0.065,-1.038,1.404,2.38,2
-0.99,0,-0.051,-0.427,0.061,-1.587,2
-0.994,-0.017,-0.044,0.732,-0.732,-1.099,2
-0.994,0.003,-0.053,-1.343,0.244,-0.61,2
-1.003,-0.012,-0.049,-0.488,1.587,0.183,2
-0.988,0.005,-0.058,0.488,0.183,-0.122,2
-0.996,0.001,-0.063,-0.671,0.61,2.991,2
-0.998,-0.004,-0.057,0.183,0.244,1.343,2
-1.013,-0.018,-0.072,-1.16,-1.038,-0.183,2
-0.993,-0.019,-0.045,0.61,0.488,0.549,2
-0.986,0.004,-0.044,1.343,0.061,1.099,2
-1.005,-0.003,-0.066,-0.122,1.77,0.916,2
-0.996,0.01,-0.063,0.916,-0.488,1.221,2
-1,0.012,-0.068,0,2.38,4.456,2
-1.002,0.006,-0.069,-0.122,-1.404,1.099,2
-1.006,0.002,-0.082,1.099,0.183,0.122,2
-0.99,0.022,-0.069,0,0.183,-0.122,2
-1.006,-0.001,-0.079,1.465,-0.671,0.244,2
-0.991,-0.003,-0.045,0.244,2.014,1.526,2
-0.998,0.02,-0.068,-1.099,0.732,1.099,2
-0.995,-0.002,-0.066,-0.366,-0.061,-0.793,2
-0.997,0.01,-0.069,0.183,0.122,1.221,2
-0.991,0.017,-0.062,0.244,0.732,0.427,2
-0.985,0.017,-0.055,0.488,0.61,0.366,2
-1.009,0.011,-0.085,-0.061,0.366,0.549,2
-1.006,-0.005,-0.07,-1.404,0.427,0.977,2
-0.996,0.005,-0.061,0.122,0.854,0.61,2
-1,0.01,-0.068,-0.793,1.404,1.16,2
-0.995,0.02,-0.073,0.244,-0.366,0.671,2
-0.992,0.021,-0.067,1.221,0.061,0.732,2
-1.001,0.015,-0.076,0.183,-0.549,0.977,2
-0.994,0.022,-0.058,-0.305,0,1.526,2
-1.007,-0.001,-0.06,-0.305,0.61,0.488,2
-0.991,0.003,-0.055,0.977,1.038,-0.183,2
-0.993,-0.001,-0.056,0.122,0.671,0.122,2
-0.997,0.016,-0.071,-0.244,-0.916,-0.793,2
-1,0,-0.068,0.183,1.343,-0.977,2
-1.002,0.005,-0.072,-0.366,0.916,0.671,2
-1.001,0.012,-0.068,0.793,-0.305,0,2
-1,0.01,-0.062,-1.587,-0.854,-0.488,2
-0.995,0.006,-0.061,0.061,0.305,0.122,2
-1.001,-0.002,-0.067,0.427,1.099,-0.183,2
-0.993,0.03,-0.068,0.854,-0.122,0,2
-0.991,0.011,-0.06,1.404,-0.122,-0.366,2
-1.001,-0.009,-0.063,0.977,-15.564,0.671,2
-1.011,-0.017,-0.063,0.977,0.427,-0.183,2
-1.003,0.012,-0.08,-0.427,-0.244,0.549,2
-0.991,0.005,-0.054,0,0.183,0.244,2
-0.995,0.018,-0.066,0.61,0.671,0.977,2
-0.992,0.005,-0.058,0.793,-0.305,0.671,2
-1.005,0.002,-0.068,0.732,-0.183,0.61,2
-0.997,0.013,-0.068,0.671,0.427,0.854,2
-1,0.004,-0.069,2.319,0.854,-0.854,2
-0.99,0.005,-0.061,1.953,0,0.122,2
-0.99,0.007,-0.059,0.732,-0.061,0.61,2
-0.993,0.012,-0.068,0.427,-0.244,1.587,2
-1.009,0.009,-0.09,-0.732,0.366,0.305,2
-0.993,0.021,-0.07,0.305,1.038,-0.061,2
-0.987,0.017,-0.063,-0.061,-0.183,0.244,2
-1,0.003,-0.067,-0.916,0.488,0.61,2
-0.998,-0.003,-0.06,-0.854,0.854,0.122,2
-0.997,-0.001,-0.058,0.488,-0.244,1.526,2
-0.996,0.014,-0.066,1.648,1.099,0.183,2
-0.996,0.005,-0.066,0.549,0.732,0.977,2
-0.997,0.007,-0.06,0.427,-0.671,-0.305,2
-0.995,0.009,-0.061,0.488,-0.793,-0.305,2
-1,0.002,-0.065,0.305,0.61,0.732,2
-0.996,0,-0.065,-0.793,-0.366,0.916,2
-0.995,0.014,-0.064,0.854,-0.183,0,2
-1.004,0.002,-0.066,0.305,0.244,0,2
-1,-0.001,-0.058,0.427,0.671,0.916,2
-1.001,0.005,-0.057,-0.305,-0.427,-0.488,2
-1.004,0.004,-0.061,-0.183,-1.16,-0.183,2
-1,0.006,-0.057,0.061,1.221,1.282,2
-1.007,-0.001,-0.068,0.549,0.366,-0.183,2
-0.996,-0.007,-0.052,0.183,0.854,0.61,2
-0.987,0.009,-0.051,1.465,-0.061,-0.061,2
-0.993,-0.001,-0.051,0.122,0.366,0.977,2
-1.002,-0.005,-0.058,-0.061,-0.732,0.671,2
-0.999,0.004,-0.058,-0.732,-0.305,0.793,2
-0.993,0.006,-0.052,-0.366,0.488,0.488,2
-1.001,0.007,-0.07,-0.244,-0.122,0.854,2
-0.989,0.008,-0.055,-0.488,0.244,0.671,2
-0.998,0.003,-0.058,-0.183,0,0.305,2
-0.992,0.001,-0.051,1.038,0.122,-0.732,2
-0.998,0.005,-0.059,1.038,0,0.305,2
-0.996,-0.006,-0.047,0.122,0.977,1.16,2
1.015,0.018,0.018,0.061,0.305,0.61,3
1.002,0.027,0.025,-1.953,0.122,0.854,3
1.001,0.021,0.033,1.77,0.488,1.221,3
1.017,0.021,0.011,2.93,-1.099,0.854,3
1.015,0.021,0.032,1.282,-0.061,-0.793,3
1.002,0.012,0.031,1.526,-0.183,0.488,3
1.02,0.038,0.016,0.854,-0.366,-2.258,3
1.006,0.026,0.011,-0.244,-1.77,-0.854,3
1.005,0.027,0.033,1.526,-0.854,0.916,3
1.012,0.026,0.015,0.244,0.061,-1.282,3
1.006,0.041,0.015,0.488,1.099,-1.099,3
1.017,0.028,0.031,0.366,0.854,-1.343,3
1.002,0.04,0.018,0.854,0.671,0.061,3
1.016,0.042,0.016,0.244,0.183,0.549,3
0.998,0.036,0.015,1.099,-0.427,-0.305,3
1.011,0.042,0.009,0.732,-1.099,2.014,3
1.009,0.032,0.026,1.526,-0.244,-0.305,3
1.005,0.045,0.023,0.427,-0.061,-0.244,3
1.008,0.029,0.005,0.977,-0.244,0.916,3
1.006,0.038,0.011,-0.305,0.732,-1.343,3
1.004,0.029,0.019,1.587,-0.061,-0.732,3
1.009,0.047,0.009,2.319,-0.427,-0.488,3
1.003,0.041,0.031,0.305,1.282,0.854,3
1.009,0.033,0.013,1.099,-0.122,-0.305,3
1.008,0.045,0.016,-0.183,-0.61,0.549,3
1.004,0.036,0.02,-0.122,0,0.854,3
1.003,0.033,0.019,0,1.892,1.099,3
1.015,0.045,0.003,-0.305,-1.221,0.244,3
0.994,0.027,0.014,-0.549,1.282,0.488,3
1.01,0.04,0.029,0.732,0.488,0,3
1.016,0.042,0.021,1.465,-0.122,0.122,3
0.999,0.027,0.023,0.183,-1.038,1.099,3
1.005,0.031,0.021,2.625,-0.183,-0.549,3
1.019,0.047,0.007,-0.793,-1.526,0.366,3
0.995,0.036,0.02,1.587,-0.366,-0.183,3
1.011,0.043,0.021,-0.061,0.183,0.671,3
1.011,0.043,0.02,-0.61,0.61,-0.122,3
1.005,0.049,0.01,0.244,1.343,0.183,3
1.006,0.031,0.026,-1.343,0.671,1.221,3
1.011,0.033,0.029,0.671,0.183,0.916,3
1.01,0.047,0.008,1.709,-1.892,0,3
1.011,0.039,0.009,-0.793,-0.366,0.244,3
1.009,0.04,0.019,-0.732,0.366,0.305,3
1.007,0.038,0.015,-0.427,-0.183,0.305,3
1.011,0.052,0.003,1.282,1.343,0.183,3
1.003,0.036,0.01,0.977,-0.244,-0.061,3
1.006,0.045,0.019,1.77,0.183,-1.038,3
1.013,0.043,0.011,0.183,0.427,1.038,3
1.005,0.034,0.014,0.61,-0.305,-0.122,3
1.012,0.046,-0.001,0.732,-0.122,-0.732,3
1.011,0.046,0.011,-1.404,-0.488,1.343,3
1.006,0.037,0.012,0.305,0.183,0.244,3
1.01,0.038,0.015,0.549,0.244,0.183,3
1.012,0.045,0.011,0.671,0.061,0.244,3
1.008,0.038,0.015,0.488,-0.366,0.366,3
1.005,0.037,0.018,0.793,0.549,1.038,3
1.01,0.044,0.015,0.793,0.61,0.427,3
1.012,0.043,0.009,0.671,1.038,0.488,3
1.007,0.027,0.017,-1.282,-0.122,0.61,3
1.01,0.034,0.012,-2.38,-0.854,0.061,3
1.008,0.04,0.012,0.061,0.122,0.488,3
1.001,0.033,0.026,0.854,1.343,-0.183,3
1.003,0.035,0.009,0.854,-0.916,-0.488,3
1.006,0.032,0.029,0.488,0.671,0.244,3
1.009,0.039,0.013,0.366,1.404,0.488,3
1.011,0.042,0.01,0.122,0.061,0.305,3
1.007,0.039,0.018,-0.488,-0.549,0.122,3
1.005,0.034,0.007,-0.061,-0.122,0.305,3
1.007,0.039,0.014,-1.16,0.183,1.099,3
0.999,0.027,0.003,-0.916,0.732,1.282,3
1.007,0.04,0.016,0.61,0.122,0.732,3
1.008,0.04,0.007,0.916,0,0.305,3
1.01,0.036,0.024,0.61,-0.977,0.183,3
1.007,0.036,0.009,0.305,-0.122,0.366,3
1.009,0.033,0.021,0.061,0.488,0.793,3
1.007,0.042,0.013,0.183,-0.244,-0.061,3
1.006,0.037,0.011,0.488,0.977,0.122,3
1.006,0.036,0.022,-1.953,-0.061,0.488,3
1.004,0.035,0.01,0.488,0.061,0.732,3
1.007,0.041,0.025,0.61,0.061,0.549,3
1.003,0.036,0.005,0.916,0.488,0.305,3
1.011,0.037,0.01,0.305,0.244,1.099,3
1.003,0.034,0.023,0.488,0.122,0.305,3
1.009,0.032,0.005,0.488,-0.061,1.282,3
1.002,0.036,0.016,0.122,0.61,0.122,3
1.011,0.034,0.003,-3.357,0.732,1.038,3
1,0.029,0.027,0.549,-0.427,0.671,3
1.01,0.035,0.013,0.244,0.732,0.488,3
1.011,0.036,0.013,-0.305,-0.366,0.122,3
1.006,0.034,0.021,-0.427,0.427,0.488,3
1.008,0.036,0.01,-2.014,-0.488,0.366,3
1.006,0.031,0.007,0.732,0,0.061,3
1.009,0.032,0.018,-0.732,0.366,0.427,3
1.011,0.042,0.008,0.671,-0.305,0.977,3
1.011,0.037,0.005,1.77,-0.854,-0.305,3
1.013,0.035,0.025,-1.282,0.366,0.366,3
1.007,0.028,0.008,-1.099,0.488,0.244,3
1.007,0.043,0.007,1.465,-0.977,0.305,3
1.006,0.03,0.012,-0.427,-0.305,0.671,3
1.008,0.031,0.002,0.366,-0.793,0.305,3
1.012,0.036,0.018,0.244,0,0.305,3
1.018,0.039,0.014,0.549,-0.122,0.854,3
1.002,0.034,0.017,0.427,0.244,0.366,3
1.014,0.037,-0.004,-0.061,-0.977,0.244,3
1.01,0.031,0.027,-0.122,0.305,0,3
1.01,0.033,0.014,-0.305,-0.366,0.549,3
1.01,0.044,-0.002,0.61,1.282,0.427,3
1.008,0.036,0.011,0.732,0.854,0.793,3
1.006,0.031,0.013,0.671,0.122,0.793,3
1.008,0.034,0.02,-0.427,0.549,0.793,3
1.007,0.036,-0.005,-0.061,0.793,0.427,3
1.013,0.033,0.013,0.305,-0.61,0.244,3
1.006,0.03,0.003,0,-0.977,-0.366,3
1.009,0.029,0.013,-0.549,0.488,1.404,3
1.003,0.028,0.015,0.671,1.16,0,3
1.01,0.035,0.009,0.732,0,-0.671,3
1.01,0.035,0.019,-0.61,0.549,0.244,3
1.003,0.028,0.011,0.183,0.427,0.793,3
1.011,0.035,0.005,1.282,-1.465,-0.244,3
1.012,0.04,0.005,-0.793,0.244,1.038,3
1.007,0.04,0.009,0.366,-0.122,0.793,3
